fullname	id	prev_id	alt_names		comment
Aa, A.J. van der	0000000108677428	0000000108677428	A.J. van der Aa, Abraham Jakob van der Aa, Abraham van der Aa		
Aalders, G.J.D.	0000000066290611	0000000066290611	Gerard Aalders	ID (VIAF of soortgelijk) primaire bewerker / auteur	
Aardweg, H.P. van den	0000000021036783	0000000021036783	Aardweg, H. P. van den;Aardweg, Hans P. van den;Aardweg, Henricus PetrusAardweg, Henricus Petrus van denDen Aardweg, H. P. vanDen Aardweg, Henricus PetrusHenricus Petrus van den AardwegHenricus Petrus van den Aardweg (Dutch poet, writer, and journalist)Henricus Petrus van den Aardweg (Nederlands dichter, schrijver en journalist)Van den Aardweg, H. P.Van den Aardweg, Henricus Petrus	VIAF ID: 261981977 (Willem I, prins van Oranje); VIAF ID 41935623 (Gachard); =A 0000000117598828 =2 isni (Gachard)	
Abels, P.H.A.M.	0000000082432499	0000000082432499	Abels, P. H. A. M.Abels, PaulAbels, Paul H.Abels, Paul H. A. M.Abels, Paul Hendrikus Adrianus Maria,Paul Abels	VIAF ID: 64372526 (Cosijn); =A 0000000083442250 =2 isni (Cosijn); VIAF ID: 42648718 (Bolland); =A 0000000079927722 =2 isni (Bolland); VIAF ID: 291714142 (Porck); =A 0000000396724611 =2 isni (Porck)	
Achterberg, G.	0000000108957075	0000000108957075	Gerrit Achterberg	VIAF ID: 100194418 (Willem III, prins van Oranje); VIAF ID: 20407456 (Bentinck); =A 0000000083628469 =2 isni (Bentinck); VIAF ID: 15136507 (Japikse); =A 0000000110216487 =2 isni (Japikse)	
Adriaanse, C.	0000000029882722	0000000029882722	Adriaanse, Cornelis;Cornelis Adriaanse	VIAF ID: 74650423 (Slingelandt); =A 0000000061495968 =2 isni (Slingelandt); VIAF ID: 15145148 (Goslinga); =A 0000000063171545 =2 isni (Goslinga); VIAF ID: 271820517 (Rappard) 	
Aitzema, L. van	0000000120954811	0000000120954811	A., L. V.A.V.LA. V. L., LeoAb Aitzema, LeoAetsema, LeoAetsema, LieuweAetsma, LeoAissema, Leo vanAitsema, Leo vanAitsema, Leo vonAitzema, L. vanAitzema, Leo abAitzema, Leo vanAitzema, Leon abAitzema, Leonis abAitzema, LieuweAitzema, Lieuwe vanAitzema, LionAitzeman, Leo abAizema, Leo vanAysma, Leo abAysma, Lieuwe vanAytzma, Lieuwe vanL. v. ALieuwe fan AitzemaLieuwe van Aitzema (Dutch diplomat, writer, philanderer and spy)Lieuwe van Aitzema (historiador, diplomata, bon-vivant, namorador, e espiÃ£o neerlandÃªs)Lieuwe van Aitzema (hollÃ¤ndischer Historiker, Diplomat, Bonvivant, SchÃ¼rzenjÃ¤ger und Spion)Lieuwe van Aitzema (Nederlands historicus)Lieuwe van Aitzema (storico olandese)Liewen van Aitzema (nederlÃ¤ndsk historiker)Sylvius, LodewijckVan Aitzema, LieuweVanAitzema, LieuweÐÐµÐ²Ðµ Ð²Ð°Ð½ ÐÐ¹ÑÐ·ÐµÐ¼Ð°ÐÑÐ²Ðµ Ð²Ð°Ð½ ÐÐ¹ÑÑÐµÐ¼Ð°	VIAF ID: 12442894 (Huygens); =A 0000000108708781 =2 isni (Huygens); VIAF ID: 126144782984545841392 (Huysman); =A 0000000385485141 =2 isni (Huysman); VIAF ID: 12528349 (Leerintveld); =A 000000005516058X =2 isni(Leerintveld)	
Alberts, W.J.	0000000120285507	0000000120285507	Alberts, W. JappeAlberts, Wiebe JappeAlberts, Wybe JappeJappe Alberts, W.Jappe Alberts, WijbeJappe Alberts, WybeJappe, Wybe	VIAF ID: 120975515 (Canneman); =A 0000000079131732 =2 isni (Canneman); VIAF ID: 53256354 (Gogel); =A 0000000077366490 =2 isni (Gogel); VIAF ID: 59132117 (Leeuwen-Canneman); =A 0000000000404188 =2 isni (Leeuwen-Canneman)	
Alphen, H. van	0000000051412786	0000000051412786	Alphen, Hiëronymus van;Van Alphen, Hiëronymus;Hieronymus van Alphen	VIAF ID: 47563445 (Meulen); VIAF ID: 55633570 (Jongbloet-van Houtte); =A 0000000061329812 =2 isni (Jongbloet-van Houtte)	
Amstel-Horák, M.H.V. van	0000000392531791	0000000392531791	Amstel-HorÃ¡k, M.H.V. van	VIAF ID: 49244865 (Coolhaas); =A 0000000108985033 =2 isni (Coolhaas); VIAF ID: 36938344 (Goor); =A 0000000083727192 =2 isni (Goor); VIAF ID: 80909000 (Schooneveld-Oosterling); =A 0000000078423426 =2 isni (Schooneveld-Oosterling); VIAF ID: 242183335 (s'Jacob); =A 0000000398364904 =2 isni (s'Jacob)	
